tract_geoid,first_year_shootings,last_year_shootings,total_shootings,avg_annual,recent_avg,change,pct_change,is_emerging,is_improving
42101021700,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101021800,0,0,5,0.45454545454545453,0.3333333333333333,0,0.0,False,False
42101021900,0,0,1,0.09090909090909091,0.3333333333333333,0,0.0,False,False
42101023500,0,0,3,0.2727272727272727,0.0,0,0.0,False,False
42101023700,0,2,16,1.4545454545454546,0.6666666666666666,2,100.0,False,False
42101023800,1,1,16,1.4545454545454546,1.6666666666666667,0,0.0,False,False
42101023900,0,0,1,0.09090909090909091,0.0,0,0.0,False,False
42101024000,1,2,29,2.6363636363636362,2.0,1,100.0,False,False
42101024100,0,2,23,2.090909090909091,1.6666666666666667,2,100.0,False,False
42101024200,7,2,82,7.454545454545454,3.6666666666666665,-5,-71.4,False,False
42101024300,0,3,25,2.272727272727273,2.0,3,100.0,False,False
42101024400,3,2,73,6.636363636363637,3.3333333333333335,-1,-33.3,False,False
42101024500,13,3,107,9.727272727272727,5.333333333333333,-10,-76.9,False,True
42101024600,3,5,46,4.181818181818182,3.6666666666666665,2,66.7,False,False
42101024700,11,1,101,9.181818181818182,4.666666666666667,-10,-90.9,False,True
42101024800,0,0,34,3.090909090909091,1.0,0,0.0,False,False
42101024900,13,3,75,6.818181818181818,3.6666666666666665,-10,-76.9,False,True
42101025200,6,2,73,6.636363636363637,3.3333333333333335,-4,-66.7,False,False
42101025300,3,2,48,4.363636363636363,3.0,-1,-33.3,False,False
42101025400,1,0,10,0.9090909090909091,0.3333333333333333,-1,-100.0,False,False
42101025500,1,0,11,1.0,0.3333333333333333,-1,-100.0,False,False
42101025600,0,0,4,0.36363636363636365,0.0,0,0.0,False,False
42101025700,0,1,2,0.18181818181818182,0.3333333333333333,1,100.0,False,False
42101025800,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101025900,0,0,8,0.7272727272727273,0.3333333333333333,0,0.0,False,False
42101026000,2,0,15,1.3636363636363635,0.0,-2,-100.0,False,False
42101026100,5,1,21,1.9090909090909092,0.6666666666666666,-4,-80.0,False,False
42101026200,1,3,16,1.4545454545454546,1.3333333333333333,2,200.0,False,False
42101026301,3,1,15,1.3636363636363635,0.6666666666666666,-2,-66.7,False,False
42101026302,5,1,69,6.2727272727272725,4.0,-4,-80.0,False,False
42101026400,9,3,46,4.181818181818182,2.6666666666666665,-6,-66.7,False,False
42101026500,2,4,51,4.636363636363637,3.0,2,100.0,False,False
42101026600,4,3,46,4.181818181818182,2.3333333333333335,-1,-25.0,False,False
42101026700,8,3,97,8.818181818181818,5.333333333333333,-5,-62.5,False,False
42101026800,1,1,33,3.0,2.0,0,0.0,False,False
42101026900,1,0,7,0.6363636363636364,0.0,-1,-100.0,False,False
42101027000,1,0,8,0.7272727272727273,0.0,-1,-100.0,False,False
42101027100,0,1,15,1.3636363636363635,2.6666666666666665,1,100.0,False,False
42101027200,0,0,16,1.4545454545454546,1.6666666666666667,0,0.0,False,False
42101027300,2,2,60,5.454545454545454,1.6666666666666667,0,0.0,False,False
42101027401,3,3,44,4.0,5.333333333333333,0,0.0,False,False
42101027402,15,2,68,6.181818181818182,5.0,-13,-86.7,False,False
42101027500,3,1,38,3.4545454545454546,3.0,-2,-66.7,False,False
