GEOID,NAME,early_avg_density,recent_avg_density,pct_change,trend,total_population
42101980702,9807.02,0.26451405312115406,0.7935421593634621,199.99999999999994,Increasing,0
42101989200,9892,0.0,0.0,0.0,Stable,0
42101000102,1.02,0.0,1.9426807138942082,100.0,Increasing,2897
42101036901,369.01,0.7942317424230972,2.382695227269292,200.00000000000006,Increasing,25
42101001204,12.04,0.0,12.563967137971856,100.0,Increasing,3134
42101036902,369.02,1.851154669167016,1.851154669167016,0.0,Stable,6267
42101012502,125.02,0.0,2.867203371630486,100.0,Increasing,3743
42101020702,207.02,1.0045399216856339,2.0090798433712678,100.0,Increasing,2095
42101013702,137.02,29.197339115960713,26.543035559964284,-9.09090909090909,Stable,4189
42101020701,207.01,0.0,3.928831232668307,100.0,Increasing,4309
42101018802,188.02,71.92680149542558,37.67594364046102,-47.61904761904761,Decreasing,4262
