GEOID,tract_name,total_population,black_alone,pct_black,white_alone,pct_white,asian_alone,pct_asian,hispanic_latino,pct_hispanic,median_household_income,below_poverty,pct_poverty
42101000101,Census Tract 1.01; Philadelphia County; Pennsylvania,1947,31,1.6,1665,85.5,101,5.2,248,12.7,117250,14,0.7
42101000806,Census Tract 8.06; Philadelphia County; Pennsylvania,2253,62,2.8,1809,80.3,271,12.0,106,4.7,180504,299,13.3
42101000901,Census Tract 9.01; Philadelphia County; Pennsylvania,2166,406,18.7,1349,62.3,296,13.7,90,4.2,44926,604,27.9
42101000902,Census Tract 9.02; Philadelphia County; Pennsylvania,2736,158,5.8,1947,71.2,477,17.4,132,4.8,89063,273,12.6
42101001001,Census Tract 10.01; Philadelphia County; Pennsylvania,2717,26,1.0,2516,92.6,72,2.6,86,3.2,123935,148,5.4
42101001002,Census Tract 10.02; Philadelphia County; Pennsylvania,3583,34,0.9,3092,86.3,401,11.2,56,1.6,144922,159,4.5
42101001101,Census Tract 11.01; Philadelphia County; Pennsylvania,4598,669,14.5,2890,62.9,371,8.1,335,7.3,58557,936,22.3
42101001102,Census Tract 11.02; Philadelphia County; Pennsylvania,2722,185,6.8,2112,77.6,140,5.1,147,5.4,107470,138,5.1
42101001201,Census Tract 12.01; Philadelphia County; Pennsylvania,4323,197,4.6,3520,81.4,175,4.0,195,4.5,116935,337,7.8
42101001203,Census Tract 12.03; Philadelphia County; Pennsylvania,1949,36,1.8,1657,85.0,199,10.2,238,12.2,105320,134,6.9
42101001204,Census Tract 12.04; Philadelphia County; Pennsylvania,3134,55,1.8,2597,82.9,195,6.2,158,5.0,88583,377,13.1
42101001301,Census Tract 13.01; Philadelphia County; Pennsylvania,1867,623,33.4,861,46.1,140,7.5,93,5.0,132344,217,11.6
42101001302,Census Tract 13.02; Philadelphia County; Pennsylvania,4762,694,14.6,3558,74.7,311,6.5,172,3.6,112892,162,3.4
42101001400,Census Tract 14; Philadelphia County; Pennsylvania,4001,922,23.0,2590,64.7,69,1.7,119,3.0,89775,515,12.9
42101001500,Census Tract 15; Philadelphia County; Pennsylvania,3251,598,18.4,2185,67.2,266,8.2,155,4.8,110859,199,6.1
42101001600,Census Tract 16; Philadelphia County; Pennsylvania,2428,109,4.5,2144,88.3,120,4.9,69,2.8,146071,148,6.1
42101001700,Census Tract 17; Philadelphia County; Pennsylvania,2978,156,5.2,2096,70.4,101,3.4,89,3.0,131635,162,5.4
42101001800,Census Tract 18; Philadelphia County; Pennsylvania,3300,366,11.1,2494,75.6,185,5.6,128,3.9,114063,136,4.1
42101001900,Census Tract 19; Philadelphia County; Pennsylvania,3643,856,23.5,2083,57.2,498,13.7,166,4.6,138500,511,14.0
42101002000,Census Tract 20; Philadelphia County; Pennsylvania,2028,821,40.5,704,34.7,229,11.3,43,2.1,103611,160,7.9
42101002100,Census Tract 21; Philadelphia County; Pennsylvania,2363,870,36.8,1058,44.8,282,11.9,37,1.6,102969,208,8.8
42101002200,Census Tract 22; Philadelphia County; Pennsylvania,2418,1036,42.8,974,40.3,94,3.9,222,9.2,68412,708,29.9
42101002300,Census Tract 23; Philadelphia County; Pennsylvania,2971,22,0.7,2252,75.8,419,14.1,287,9.7,106389,160,5.4
42101002400,Census Tract 24; Philadelphia County; Pennsylvania,4707,293,6.2,3663,77.8,376,8.0,317,6.7,98015,702,14.9
42101002500,Census Tract 25; Philadelphia County; Pennsylvania,4349,836,19.2,2608,60.0,535,12.3,184,4.2,83576,808,18.6
42101002701,Census Tract 27.01; Philadelphia County; Pennsylvania,3821,329,8.6,2489,65.1,421,11.0,596,15.6,91078,545,14.3
42101002702,Census Tract 27.02; Philadelphia County; Pennsylvania,4407,302,6.9,3386,76.8,91,2.1,346,7.9,95745,238,5.4
42101002801,Census Tract 28.01; Philadelphia County; Pennsylvania,4234,183,4.3,2311,54.6,933,22.0,1068,25.2,71352,850,20.1
42101002802,Census Tract 28.02; Philadelphia County; Pennsylvania,5720,383,6.7,3691,64.5,1103,19.3,759,13.3,78871,1047,18.3
42101002900,Census Tract 29; Philadelphia County; Pennsylvania,3891,137,3.5,2727,70.1,332,8.5,349,9.0,93631,405,10.4
42101003001,Census Tract 30.01; Philadelphia County; Pennsylvania,3431,559,16.3,1119,32.6,1261,36.8,291,8.5,59583,693,20.2
42101003002,Census Tract 30.02; Philadelphia County; Pennsylvania,3171,1210,38.2,1156,36.5,346,10.9,453,14.3,74213,853,26.9
42101003100,Census Tract 31; Philadelphia County; Pennsylvania,5017,2658,53.0,1673,33.3,0,0.0,696,13.9,78270,988,19.7
42101003200,Census Tract 32; Philadelphia County; Pennsylvania,4196,2388,56.9,998,23.8,229,5.5,428,10.2,58920,513,12.5
42101003300,Census Tract 33; Philadelphia County; Pennsylvania,6286,2706,43.0,2572,40.9,456,7.3,1053,16.8,56923,1879,29.9
42101003600,Census Tract 36; Philadelphia County; Pennsylvania,6915,4196,60.7,1194,17.3,1232,17.8,250,3.6,40271,1873,27.7
42101003701,Census Tract 37.01; Philadelphia County; Pennsylvania,5396,2450,45.4,1265,23.4,1145,21.2,482,8.9,59837,854,15.9
42101003702,Census Tract 37.02; Philadelphia County; Pennsylvania,3742,1402,37.5,1045,27.9,946,25.3,43,1.1,49493,610,16.3
